#,Source,RA(hh:mm:ss),DEC(dd:mm:ss),Vmag,Min SNR,Exposure
1,HOPS 235,05h41m25.3547,-08d05m54.7228s,12.5,50,20
2,HOPS 194,05h35m52.0296,-06d10m01.7134s,13.1,50,20
3,HOPS 170,05h36m41.369,-06d34m00.7539s,14.6,50,20
4,HOPS 134,05h38m42.7899,-07d12m43.8422s,15.1,50,20
5,HOPS 59,05h35m20.1526,-05d13m15.7029s,15.2,50,20
6,HOPS 49,05h34m48.8864,-05d31m45.7877s,15.4,50,20
7,HOPS 71,05h35m25.6565,-05d07m57.2503s,15.4,50,20
8,HOPS 70,05h35m22.407,-05d08m05.1456s,15.5,50,20
9,HOPS 294,05h40m51.7315,-02d26m49.0043s,15.5,50,20
10,HOPS 187,05h35m50.962,-06d22m43.6757s,15.6,50,20
11,HOPS 45,05h35m06.4602,-05d33m34.9906s,15.6,50,20
12,HOPS 26,05h35m17.3575,-05d42m14.6903s,15.7,50,20
13,HOPS 58,05h35m18.5242,-05d13m38.3437s,15.7,50,20
14,HOPS 201,05h34m06.9586,-06d32m07.9178s,16.2,50,40
15,HOPS 166,05h36m25.1322,-06d44m41.8397s,16.2,50,40
16,HOPS 378,05h36m25.7026,-06d47m17.1469s,16.2,50,40
17,HOPS 199,05h34m39.8852,-06d25m14.0887s,16.6,50,40
18,HOPS 376,05h38m18.1009,-07d02m25.9948s,16.7,50,40
19,HOPS 107,05h35m23.3504,-04d40m10.3248s,16.8,50,40
20,HOPS 388,05h46m13.138,-00d06m04.9013s,17.1,50,40
21,HOPS 260,05h40m19.4009,-08d14m16.36s,17.1,50,40
22,HOPS 3,05h54m56.9619,+01d42m56.2437s,17.2,50,40
23,HOPS 284,05h38m51.4994,-08d01m27.4536s,17.2,50,40
24,HOPS 163,05h37m17.2765,-06d36m18.1776s,17.2,50,40
25,HOPS 132,05h39m05.3717,-07d11m05.1755s,17.2,50,40
26,HOPS 283,05h40m44.6762,-07d29m54.3736s,17.7,50,40
27,HOPS 65,05h35m21.5763,-05d09m38.8395s,17.8,50,40
28,HOPS 184,05h36m12.9868,-06d23m30.439s,17.8,50,40
29,HOPS 77,05h35m31.5425,-05d05m47.387s,17.9,50,40
30,HOPS 102,05h34m35.1672,-04d52m17.9777s,18.0,50,40
